id,annotator1,annotator2,judge1,judge2
1,-1,-1,,
2,0,0,,
3,0,0,,
4,0,0,,
5,0,0,,
6,0,0,,
7,0,0,,
8,0,0,,
9,0,0,,
10,0,0,,
11,0,0,,
12,0,0,,
13,0,0,,
14,1,1,,
15,0,0,,
16,0,0,,
17,0,0,,
18,0,0,,
19,0,0,,
20,0,0,,
21,-1,-1,,
22,0,0,,
23,0,0,,
24,0,0,,
25,0,0,,
26,0,0,,
27,0,0,,
28,0,0,,
29,0,0,,
30,-1,-1,,
31,0,0,,
32,1,1,,
33,0,0,,
34,1,1,,
35,1,1,,
36,0,0,,
37,0,0,,
38,0,0,,
39,0,0,,
40,1,1,,
41,0,0,,
42,0,0,,
43,1,1,,
44,-1,-1,,
45,0,0,,
46,0,0,,
47,0,0,,
48,0,0,,
49,1,1,,
50,0,0,,
51,0,0,,
52,0,0,,
53,0,0,,
54,1,1,,
55,-1,-1,,
56,0,0,,
57,0,0,,
58,1,1,,
59,-1,-1,,
60,0,0,,
61,0,0,,
62,0,0,,
63,0,0,,
64,-1,-1,,
65,0,0,,
66,0,0,,
67,0,0,,
68,0,0,,
69,0,0,,
70,0,0,,
71,0,0,,
72,-1,-1,,
73,1,1,,
74,1,1,,
75,-1,-1,,
76,1,1,,
77,1,1,,
78,-1,-1,,
79,-1,-1,,
80,0,0,,
81,0,0,,
82,-1,-1,,
83,1,1,,
84,-1,-1,,
85,0,0,,
86,0,0,,
87,0,0,,
88,0,0,,
89,-1,-1,,
90,-1,-1,,
91,0,0,,
92,0,0,,
93,0,0,,
94,0,0,,
95,0,0,,
96,0,0,,
97,1,1,,
98,0,0,,
99,0,0,,
100,0,0,,
101,0,0,,
102,0,0,,
103,0,0,,
104,0,0,,
105,0,0,,
106,0,0,,
107,0,0,,
108,0,0,,
109,0,0,,
110,0,0,,
111,0,0,,
112,0,0,,
113,0,0,,
114,0,0,,
115,0,0,,
116,0,0,,
117,0,0,,
118,0,0,,
119,0,0,,
120,0,0,,
121,0,0,,
122,0,0,,
123,0,0,,
124,0,0,,
125,0,0,,
126,0,0,,
127,0,0,,
128,0,0,,
129,0,0,,
130,0,0,,
131,0,0,,
132,0,0,,
133,0,0,,
134,0,0,,
135,0,0,,
136,0,0,,
137,0,0,,
138,0,0,,
139,0,0,,
140,0,0,,
141,1,1,,
142,0,0,,
143,0,0,,
144,0,0,,
145,0,1,1,1
146,0,0,,
147,0,0,,
148,0,0,,
149,0,0,,
150,0,0,,
